numConcurrent,totalTime(s),throughput(tuples/s),minLatency(ms),maxLatency(ms),avgLatency(ms),99thPercentileLatency(ms),90thPercentileLatency(ms)
2,14.2740774,0.42034240335561024,646.9325,7153.1497,4643.7355333333335,646.9325,646.9325
4,12.3450454,0.4860249440637942,997.5819,12342.3467,7837.47405,997.5819,997.5819
8,12.8611067,0.46652283819401014,3084.4967,12846.0371,9315.161166666669,3084.4967,3084.4967
16,13.8154356,0.43429683824084414,3033.3219,13812.64,9914.470683333335,3033.3219,3033.3219
32,12.8127348,0.4682841012209197,3663.9417,12797.3969,9233.607183333334,3663.9417,3663.9417
64,13.0485337,0.4598217805882664,3200.8326,13032.7648,9204.490333333333,3200.8326,3200.8326
