numConcurrent,totalTime(s),throughput(tuples/s),minLatency(ms),maxLatency(ms),avgLatency(ms),99thPercentileLatency(ms),90thPercentileLatency(ms)
2,896.9154246,1874.7364064453395,0.4228,789.5026,1.046874292528007,3.0397,1.1454
4,484.0367557,3473.8684205258173,0.456,815.4683,1.1331849354139891,4.8308,1.2339
8,294.1436328,5716.52693615607,0.489,2623.4717,1.37877878482041,7.2645,1.4298
16,144.7582319,11615.781554734505,0.4203,487.8898,1.3485924543853813,8.0524,1.5765
32,135.5919697,12401.029380429452,0.4394,645.3254,2.4486789613909434,8.3323,5.5456
64,140.1209676,12000.202602083658,0.4328,704.9471,4.911570918060549,13.5576,9.1569
