numConcurrent,totalTime(s),throughput(tuples/s),minLatency(ms),maxLatency(ms),avgLatency(ms),99thPercentileLatency(ms),90thPercentileLatency(ms)
2,1708.9431274,58.51569803387244,4.4205,244.3725,34.15557763399996,81.7873,76.7729
4,951.5383136,105.09298319440786,7.3218,352.9026,38.03612877900009,118.2395,78.8553
8,556.3718731,179.7359011749079,7.841,666.3959,44.478328627999744,265.4052,81.5648
16,316.1037633,316.35181737806283,8.2684,982.2944,50.519905925999616,324.7746,85.6796
32,247.4932406,404.0514389708953,11.8395,1428.3428,78.65890715200001,433.7036,115.4489
64,282.8675212,353.5223824063404,30.522,3880.6757,178.57640714000047,853.8383,256.5805
