numConcurrent,totalTime(s),throughput(tuples/s),minLatency(ms),maxLatency(ms),avgLatency(ms),99thPercentileLatency(ms),90thPercentileLatency(ms)
2,37.8828427,0.15838304552577837,1973.8178,20535.2158,12313.265400000002,1973.8178,1973.8178
4,26.0738801,0.23011534827146804,2774.6929,26071.2765,16690.285766666664,2774.6929,2774.6929
8,28.1122694,0.21342994102069895,6996.1713,28028.0595,19692.009583333336,6996.1713,6996.1713
16,27.7504581,0.21621264695446596,7106.6709,27665.3385,19151.166366666665,7106.6709,7106.6709
32,27.6241296,0.21720141365105672,6648.7994,27554.442,19305.66131666667,6648.7994,6648.7994
64,28.0912047,0.21358998533800866,6656.8397,28088.2907,19684.934933333334,6656.8397,6656.8397
