numConcurrent,totalTime(s),throughput(tuples/s),minLatency(ms),maxLatency(ms),avgLatency(ms),99thPercentileLatency(ms),90thPercentileLatency(ms)
2,1224.0474158,1978.381693994505,0.3013,697.6713,0.9901443814153291,2.0606,1.1599
4,673.7626754,3594.1928640709025,0.3949,3532.1151,1.0939796280443386,4.732,1.2114
8,400.4647786,6047.056144277853,0.4617,453.3464,1.3019248589691241,7.1651,1.3607
16,191.9682174,12614.760051420888,0.3983,537.1916,1.240224609261701,7.9175,1.4104
32,171.2498593,14140.934246011378,0.3912,643.7419,2.086455138536839,9.7216,5.433
64,175.9410374,13763.889515408757,0.3779,964.1894,4.024261892573956,14.7412,8.8519
