numConcurrent,totalTime(s),throughput(tuples/s),minLatency(ms),maxLatency(ms),avgLatency(ms),99thPercentileLatency(ms),90thPercentileLatency(ms)
2,711.054015,2364.771120798748,0.2394,792.5287,0.8319239716796893,1.2483,1.0376
4,363.7712725,4622.355109143479,0.2289,728.0003,0.8527920610414667,1.3776,1.0898
8,205.8838889,8167.127641622861,0.3019,526.4953,0.9676651050859851,1.5867,1.1419
16,65.1734249,25800.086501208254,0.285,473.1364,0.6051991456930911,2.9216,0.7048
32,56.9624672,29519.08656091357,0.3181,167.4569,0.9994356885600867,4.4887,1.2576
64,50.6528899,33196.13161893849,0.3278,189.8117,1.6932256752384018,7.0889,2.2666
