numConcurrent,totalTime(s),throughput(tuples/s),minLatency(ms),maxLatency(ms),avgLatency(ms),99thPercentileLatency(ms),90thPercentileLatency(ms)
2,936.4561874,106.78556172247893,2.8093,589.2418,18.698031652999955,142.4569,25.1292
4,745.6737603,134.1069048209071,3.3652,737.0073,29.792357781000263,353.3456,37.9507
8,606.9761781,164.75111150659507,3.2398,1114.4664,48.49556932699955,657.6906,62.2114
16,624.2416841,160.19436469414075,4.159,2394.5062,99.71613032000015,1489.0056,124.3418
32,750.3594337,133.2694646176473,6.6771,4299.0844,238.55158226699834,3026.764,287.6829
64,698.9750146,143.0666302961153,31.245,6437.9237,440.0127357029993,4283.4371,546.8925
